Symbol,Company,Year_Month,Close
A,Agilent Technologies Inc,1999-11,28.6358
A,Agilent Technologies Inc,1999-12,28.9309
A,Agilent Technologies Inc,2000-1,48.2176
A,Agilent Technologies Inc,2000-2,47.8386
A,Agilent Technologies Inc,2000-3,73.5266
A,Agilent Technologies Inc,2000-4,66.0308
A,Agilent Technologies Inc,2000-5,64.2621
A,Agilent Technologies Inc,2000-6,49.4389
A,Agilent Technologies Inc,2000-7,49.6498
A,Agilent Technologies Inc,2000-8,26.9935
A,Agilent Technologies Inc,2000-9,41.5644
A,Agilent Technologies Inc,2000-10,34.0685
A,Agilent Technologies Inc,2000-11,31.5418
A,Agilent Technologies Inc,2000-12,35.7105
A,Agilent Technologies Inc,2001-1,36.8897
A,Agilent Technologies Inc,2001-2,36.2496
A,Agilent Technologies Inc,2001-3,25.8127
A,Agilent Technologies Inc,2001-4,20.7862
A,Agilent Technologies Inc,2001-5,26.4123
A,Agilent Technologies Inc,2001-6,22.8884
A,Agilent Technologies Inc,2001-7,22.2955
A,Agilent Technologies Inc,2001-8,21.3926
A,Agilent Technologies Inc,2001-9,17.8553
A,Agilent Technologies Inc,2001-10,12.7076
A,Agilent Technologies Inc,2001-11,15.4296
A,Agilent Technologies Inc,2001-12,18.5358
A,Agilent Technologies Inc,2002-1,19.2096
A,Agilent Technologies Inc,2002-2,19.9507
A,Agilent Technologies Inc,2002-3,22.2281
A,Agilent Technologies Inc,2002-4,24.6133
A,Agilent Technologies Inc,2002-5,20.51
A,Agilent Technologies Inc,2002-6,17.2017
A,Agilent Technologies Inc,2002-7,15.5846
A,Agilent Technologies Inc,2002-8,11.9664
A,Agilent Technologies Inc,2002-9,9.0489
A,Agilent Technologies Inc,2002-10,8.7929
A,Agilent Technologies Inc,2002-11,9.8642
A,Agilent Technologies Inc,2002-12,13.004000000000001
A,Agilent Technologies Inc,2003-1,12.1012
A,Agilent Technologies Inc,2003-2,11.1107
A,Agilent Technologies Inc,2003-3,8.7727
A,Agilent Technologies Inc,2003-4,9.0961
A,Agilent Technologies Inc,2003-5,10.9086
A,Agilent Technologies Inc,2003-6,12.62
A,Agilent Technologies Inc,2003-7,13.415
A,Agilent Technologies Inc,2003-8,14.52
A,Agilent Technologies Inc,2003-9,16.3864
A,Agilent Technologies Inc,2003-10,14.9917
A,Agilent Technologies Inc,2003-11,17.04
A,Agilent Technologies Inc,2003-12,19.0546
A,Agilent Technologies Inc,2004-1,19.7014
A,Agilent Technologies Inc,2004-2,24.5392
A,Agilent Technologies Inc,2004-3,23.131
A,Agilent Technologies Inc,2004-4,21.3185
A,Agilent Technologies Inc,2004-5,18.2017
A,Agilent Technologies Inc,2004-6,17.2857
A,Agilent Technologies Inc,2004-7,19.2972
A,Agilent Technologies Inc,2004-8,16.191
A,Agilent Technologies Inc,2004-9,13.9406
A,Agilent Technologies Inc,2004-10,15.4903
A,Agilent Technologies Inc,2004-11,16.6492
A,Agilent Technologies Inc,2004-12,15.9619
A,Agilent Technologies Inc,2005-1,16.09
A,Agilent Technologies Inc,2005-2,15.1736
A,Agilent Technologies Inc,2005-3,16.4942
A,Agilent Technologies Inc,2005-4,14.8704
A,Agilent Technologies Inc,2005-5,14.1292
A,Agilent Technologies Inc,2005-6,16.2921
A,Agilent Technologies Inc,2005-7,15.7665
A,Agilent Technologies Inc,2005-8,17.862000000000002
A,Agilent Technologies Inc,2005-9,21.7565
A,Agilent Technologies Inc,2005-10,22.2281
A,Agilent Technologies Inc,2005-11,21.6487
A,Agilent Technologies Inc,2005-12,24.2427
A,Agilent Technologies Inc,2006-1,22.4303
A,Agilent Technologies Inc,2006-2,23.5555
A,Agilent Technologies Inc,2006-3,24.7346
A,Agilent Technologies Inc,2006-4,25.6712
A,Agilent Technologies Inc,2006-5,26.1091
A,Agilent Technologies Inc,2006-6,23.6026
A,Agilent Technologies Inc,2006-7,21.4667
A,Agilent Technologies Inc,2006-8,18.8996
A,Agilent Technologies Inc,2006-9,21.2377
A,Agilent Technologies Inc,2006-10,21.7767
A,Agilent Technologies Inc,2006-11,24.3773
A,Agilent Technologies Inc,2006-12,22.8613
A,Agilent Technologies Inc,2007-1,24.9208
A,Agilent Technologies Inc,2007-2,23.0186
A,Agilent Technologies Inc,2007-3,22.4823
A,Agilent Technologies Inc,2007-4,24.0913
A,Agilent Technologies Inc,2007-5,25.736
A,Agilent Technologies Inc,2007-6,27.3735
A,Agilent Technologies Inc,2007-7,28.0886
A,Agilent Technologies Inc,2007-8,27.2877
A,Agilent Technologies Inc,2007-9,26.0292
A,Agilent Technologies Inc,2007-10,26.4654
A,Agilent Technologies Inc,2007-11,25.929000000000002
A,Agilent Technologies Inc,2007-12,26.9945
A,Agilent Technologies Inc,2008-1,26.2723
A,Agilent Technologies Inc,2008-2,24.6419
A,Agilent Technologies Inc,2008-3,21.9818
A,Agilent Technologies Inc,2008-4,22.089000000000002
A,Agilent Technologies Inc,2008-5,22.2392
A,Agilent Technologies Inc,2008-6,26.3867
A,Agilent Technologies Inc,2008-7,25.4356
A,Agilent Technologies Inc,2008-8,25.643
A,Agilent Technologies Inc,2008-9,24.8564
A,Agilent Technologies Inc,2008-10,21.2166
A,Agilent Technologies Inc,2008-11,16.447
A,Agilent Technologies Inc,2008-12,12.3424
A,Agilent Technologies Inc,2009-1,11.1768
A,Agilent Technologies Inc,2009-2,12.892999999999999
A,Agilent Technologies Inc,2009-3,9.0673
A,Agilent Technologies Inc,2009-4,11.4414
A,Agilent Technologies Inc,2009-5,13.4508
A,Agilent Technologies Inc,2009-6,13.5008
A,Agilent Technologies Inc,2009-7,14.7451
A,Agilent Technologies Inc,2009-8,17.1263
A,Agilent Technologies Inc,2009-9,18.485
A,Agilent Technologies Inc,2009-10,19.0285
A,Agilent Technologies Inc,2009-11,17.9272
A,Agilent Technologies Inc,2009-12,21.0521
A,Agilent Technologies Inc,2010-1,22.2177
A,Agilent Technologies Inc,2010-2,20.8305
A,Agilent Technologies Inc,2010-3,22.9471
A,Agilent Technologies Inc,2010-4,24.7062
A,Agilent Technologies Inc,2010-5,26.2937
A,Agilent Technologies Inc,2010-6,22.5109
A,Agilent Technologies Inc,2010-7,20.2226
A,Agilent Technologies Inc,2010-8,20.6088
A,Agilent Technologies Inc,2010-9,20.2298
A,Agilent Technologies Inc,2010-10,24.1199
A,Agilent Technologies Inc,2010-11,24.8493
A,Agilent Technologies Inc,2010-12,25.8289
A,Agilent Technologies Inc,2011-1,29.9478
A,Agilent Technologies Inc,2011-2,30.0694
A,Agilent Technologies Inc,2011-3,29.0897
A,Agilent Technologies Inc,2011-4,32.279
A,Agilent Technologies Inc,2011-5,36.069
A,Agilent Technologies Inc,2011-6,34.3242
A,Agilent Technologies Inc,2011-7,37.1845
A,Agilent Technologies Inc,2011-8,29.1684
A,Agilent Technologies Inc,2011-9,25.6287
A,Agilent Technologies Inc,2011-10,21.0235
A,Agilent Technologies Inc,2011-11,25.2354
A,Agilent Technologies Inc,2011-12,27.0446
A,Agilent Technologies Inc,2012-1,24.978
A,Agilent Technologies Inc,2012-2,31.5997
A,Agilent Technologies Inc,2012-3,31.5782
A,Agilent Technologies Inc,2012-4,32.0859
A,Agilent Technologies Inc,2012-5,30.7273
A,Agilent Technologies Inc,2012-6,27.3306
A,Agilent Technologies Inc,2012-7,27.824
A,Agilent Technologies Inc,2012-8,27.302
A,Agilent Technologies Inc,2012-9,26.5726
A,Agilent Technologies Inc,2012-10,27.7883
A,Agilent Technologies Inc,2012-11,26.5297
A,Agilent Technologies Inc,2012-12,27.1161
A,Agilent Technologies Inc,2013-1,29.2756
A,Agilent Technologies Inc,2013-2,32.3863
A,Agilent Technologies Inc,2013-3,29.9836
A,Agilent Technologies Inc,2013-4,29.2685
A,Agilent Technologies Inc,2013-5,29.5402
A,Agilent Technologies Inc,2013-6,32.5436
A,Agilent Technologies Inc,2013-7,31.1706
A,Agilent Technologies Inc,2013-8,32.9226
A,Agilent Technologies Inc,2013-9,33.3516
A,Agilent Technologies Inc,2013-10,37.113
A,Agilent Technologies Inc,2013-11,36.5409
A,Agilent Technologies Inc,2013-12,38.0498
A,Agilent Technologies Inc,2014-1,40.8958
A,Agilent Technologies Inc,2014-2,40.1521
A,Agilent Technologies Inc,2014-3,40.5526
A,Agilent Technologies Inc,2014-4,40.3023
A,Agilent Technologies Inc,2014-5,38.9508
A,Agilent Technologies Inc,2014-6,40.6813
A,Agilent Technologies Inc,2014-7,41.6538
